idx,sentence,label,processed_sentence
0,Trials should be designed to maximize inclusiveness and broad representative enrollment.,NSCLC,trial design maximize inclusiveness broad representative enrollment
1,"Stage IIB (T3 invasion, N0) and Stage IIIA (T4 invasion, N01; T3, N1; T4, N01) (NSCL5)
 Stage IIIA (T12, N2); Stage IIIB (T3, N2) (NSCL8)
 Separate Pulmonary Nodule(s)",NSCLC,stage iib invasion stage iiia invasion stage iiia stage iiib separate pulmonary
2,"(Stage IIB, IIIA, IV);  
Stage IIIA ipsilateral nonprimary lobe (T4, N0N1); Stage IV (contralateral lung) (NSCL8)
 Multiple Lung Cancers (N01) (NSCL12)
 Stage IIIB (T12, N3); Stage IIIC (T3, N3) (NSCL13)
 Stage IIIB (T4, N2); Stage IIIC (T4, N3); Stage IVA, M1a: Pleural or Pericardial Effusion (NSCL14)
 Stage IVA, M1b and Stage IVB, M1c (definitive therapy for solitary or limited metastases) (NSCL15)
Surveillance After Completion of Definitive Therapy (NSCL17)",NSCLC,stage iib iiia iv stage iiia ipsilateral nonprimary lobe stage iv contralateral lung multiple lung cancers stage iiib stage iiic stage iiib stage iiic stage iva pleural pericardial effusion stage iva stage ivb definitive therapy solitary limited metastasis surveillance completion definitive therapy
3,Therapy for Recurrence and Metastasis (local therapy and control of symptoms) (NSCL18),NSCLC,therapy recurrence metastasis local therapy control symptom
4,"Advanced or Metastatic Disease (systemic therapy planned) (NSCL19)
Principles of Pathologic Review (NSCLA)",NSCLC,advanced metastatic disease systemic therapy plan principle pathologic review nscla
5,"Principles of Surgical Therapy (NSCLB)
Principles of Radiation Therapy (NSCLC)
Principles of ImageGuided Thermal Ablation Therapy (NSCLD)
Perioperative Systemic Therapy (NSCLE)
Concurrent Chemoradiation Regimens (NSCLF)
Cancer Survivorship Care (NSCLG)
Principles of Molecular and Biomarker Analysis (NSCLH)
Emerging Biomarkers to Identify Novel Therapies for Patients with Metastatic NSCLC (NSCLI)",NSCLC,principle surgical therapy nsclb principle radiation therapy nsclc principle imageguided thermal ablation therapy nscld perioperative systemic therapy nscle concurrent chemoradiation regimens nsclf cancer survivorship care nsclg principle molecular biomarker analysis nsclh emerge biomarkers identify novel therapies patient metastatic nsclc nscli
6,A pooled analysis of datopotamab deruxtecan in patients with EGFRmutated NSCLC.,NSCLC,pool analysis datopotamab deruxtecan patient egfrmutated nsclc
7,Testing for HER2 IHC or cMet/MET IHC is recommended at some point during progression.,NSCLC,test ihc cmet met ihc recommend point progression
8,"Timing should be balanced with 
tissue conservation.",NSCLC,timing balance tissue conservation
9,"NSCLJ 1 of 6
 cMet/MET (≥50% IHC 3+ and EGFR wildtype)
Telisotuzumab vedotintllv (nonsquamous) added as subsequent therapy
NSCLJ 6 of 6
 Reference 54 added: Camidge DR, Bar J, Horinouchi H, et al.",NSCLC,nsclj cmet met ihc egfr wildtype telisotuzumab vedotintllv nonsquamous add subsequent therapy nsclj reference add camidge dr bar j horinouchi h et al
10,"Telisotuzumab vedotin monotherapy in patients with previously treated cMet protein
overexpressing advanced nonsquamous EGFRwildtype nonsmall cell lung cancer in the phase II LUMINOSITY Trial.",NSCLC,telisotuzumab vedotin monotherapy patient previously treat cmet protein overexpressing advanced nonsquamous egfrwildtype nonsmall cell lung cancer phase ii luminosity trial
