idx,sentence,label
662,"Stereotactic body radiation therapy versus surgical resection for stage I 
nonsmall cell lung cancer.",NSCLC
4406,"Adjuvant chemotherapy  is recommended for 
patients  with early stage SCLC who have had surgery or SABR .",SCLC
363,"eee The data in the secondline setting suggest that PD1/PDL1 inhibitor monotherapy is less effective, irrespective of PDL1 expression, in EGFR exon 19 deletion or 
exon 21 L858R, ALK+ NSCLC.",NSCLC
2230,"Currently, fewer treatment options are available for patients 
with squamous cell carcinoma compared with nonsquamous NSCLC.",NSCLC
3678,"Radical treatment of 
synchronous oligometastatic non small cell lung carcinoma (NSCLC): 
patient outcomes and prognostic factors.",NSCLC
3220,"Excessive toxicity 
when treating central tumors in a phase II study of stereotactic body 
radiation therapy for medically inoperable early stage lung cancer.",NSCLC
2833,"Segmentectomy versus lobectomy in small sized peripheral non small cell lung cancer 
(JCOG0802/WJOG4607L): a multicentre, open label, phase 3, 
randomised, controlled, non inferiority trial.",NSCLC
4083,"Pembrolizumab in patients with extensive stage 
smallcell lung cancer: results from the phase Ib KEYNOTE028 study.",SCLC
4561,"The FDA has withdrawn the subsequent therapy indications for nivolumab 
or pembrolizumab for patients with relapsed SCLC, because phase 3 
randomized trial data did not show an improvement in overall 
survival.212,218,219,221,223 226",SCLC
4046,"Subsequent systemic therapy
Response assessment by C/A/P CT with contrast is recommended after every 23 cycles of systemic therapy.",SCLC
430,"Sarcomatoid carcinoma is a general term that includes pleomorphic carcinoma, carcinosarcoma, and pulmonary blastoma.",NSCLC
4110,"Ideally, FDGPET/CT should be obtained in the treatment position.",SCLC
4720,Chest Surg Clin N Am 1997;7:65 80.,SCLC
1744,"The 
overall response rate was 38% with nivolumab plus ipilimumab plus 
chemotherapy versus 25% with chemotherapy alone.",NSCLC
1001,"Various antibody clones have been developed for IHC analysis of PDL1 expression, and while several are comparable regarding 
intensity and proportion of cells stained, some are not.",NSCLC
3783,"Ther Clin Risk Manag 2018;14:1247 
1252.",NSCLC
2099,"A post hoc 
analysis of the CROWN study show ed that in patients with brain 
metastases at baseline, the 12 month cumulative incidence of CNS 
progression was 7% with lorlatinib compared with 72% with crizotinib; the 12month PFS rates were 78% versus 22%, respectively.1070",NSCLC
1477,"Because the risk of toxicity increases progressively with dose 
to normal tissues, a key principle of radiation treatment planning is to keep 
normal tissue doses ""as low as reasonably achievable"" while adequately 
covering the target.",NSCLC
4581,"Grade 3 4 toxicities 
included neutropenia (27%), thrombocytopenia (27%), neurologic toxicity 
(14%), and pulmonary (9%).",SCLC
2120,"For 
patients with CNS progression, definitive local therapy (eg, SRS with or 
without surgical resection) should be considered for symptomatic lesions, and SRS should be considered for asymptomatic lesions at risk of 
symptomatic progression based on factors including size, location, and 
edema.",NSCLC
4105,"IMRT is preferred over 3D conformal 
EBRT on the basis of reduced toxicity in the setting of concurrent chemotherapy/RT.1",SCLC
879,"Bone density testing as appropriate 
 Dental health: Routine dental examinations
 Routine sun protection 
Resources
 National Cancer Institute Facing Forward: Life After Cancer Treatment  
https://www.cancer.gov/publications/patienteducation/facingforward
Cancer Screening Recommendations8,9
These recommendations are for individuals at average risk for cancer; patients at high risk should be individualized .",NSCLC
4922,Management of recurrent small cell lung cancer.,SCLC
1406,"Data suggest that patients with 
ERBB2  mutations respond to first line immunotherapy regimens.306  
KRAS Mutations  
KRAS is a G protein with GTPase activity that is part of the MAP/ERK 
pathway; point mutations in KRAS most commonly occur at codon 12.",NSCLC
1317,") .138  
Adenocarcinoma  
Most lung carcinomas are adenocarcinomas.",NSCLC
174,"Patients with suspected nodal disease should be biopsied by EBUS, EUS, navigational bronchoscopy, or mediastinoscopy.",NSCLC
3918,c Signs and Symptoms of Small Cell Lung Cancer (SCLA) .,SCLC
4325,"Recommendations 
for which high level evidence is lacking are based on the Panel’s review of 
lower level evidence and expert opinion.",SCLC
3000,"American Society of Radiation Oncology recommendations for documenting intensity modulated radiation 
therapy treatments.",NSCLC
2319,"Taylor R, Najafi F, Dobson A. Meta analysis of studies of passive 
smoking and lung cancer: effects of study type and continent.",NSCLC
2159,"Mutation  
The BRAF  V600E mutation occurs in 1% to 2% of patients with lung 
adenocarcinoma; it is the most common of the BRAF  point mutations 
when considered across all tumor types.188,241 Rare BRAF  mutations 
include V600K and V600D.",NSCLC
308,"Concurrent testing can improve time to test results and should be considered in the 
appropriate clinical situation.",NSCLC
2757,"Positive, 
Metastatic Non Small Cell Lung Cancer.",NSCLC
2307,"The prognostic role of EGFR TKIs for 
patients with advanced non small cell lung cancer.",NSCLC
1700,Fewer patients were in the squamous group compared with the nonsquamous group (222 vs. 628).,NSCLC
2119,"For those with 
asymptomatic progression or symptomatic systemic progression that is 
limited in nature (oligoprogression), definitive local therapy (eg, SABR or 
surgery) should be considered for limited lesions; IGTA therapy (eg, 
cryotherapy, microwave ablation, radiofrequency ablation) may also be 
an option for certain patients (see Principles of Image Guided Thermal 
Ablation Therapy",NSCLC
2667,"Hereditary lung cancer 
syndrome targets never smokers with germline EGFR gene T790M 
mutations.",NSCLC
1791,"These pembrolizumab  plus chemotherapy regimens are recommended (category 
1; preferred) as first line therapy options for patients with  metastatic 
nonsquamous NSCLC, no contraindications to PD 1 or PD L1 inhibitors , 
and negative test results for actionable driver mutations , regardless of 
their PD L1 expression levels.",NSCLC
4384,Pericardial effusions are classified using the same criteria.,SCLC
3908,"If tyrosine kinase inhibitor ( TKI) is continued, ICI should be avoided, due to known toxicity.",SCLC
3497,"Borghaei H, Langer CJ, Paz Ares L, et al. Pembrolizumab plus 
chemotherapy versus chemotherapy alone in patients with advanced nonsmall cell lung cancer without tumor PD L1 expression: A pooled analysis 
of 3 randomized controlled trials.",NSCLC
570,"If motion is minimal or the ITV is small, motionencompassing targeting is appropriate.",NSCLC
1642,"Targeted therapy is a preferred first line 
therapy option for patients with actionable driver mutations, except for EGFR  exon 20 mutations or KRAS mutations.",NSCLC
3221,"Stereotactic ablative 
radiotherapy (SABR) for treatment of central and ultra central lung tumors.",NSCLC
530,"Preoperative chemotherapy versus 
preoperative chemoradiotherapy for stage III (N2) nonsmallcell lung cancer.",NSCLC
4163,"J Clin Oncol 2004;22:48374845.
11 De Ruysscher D, PijlsJohannesma M, Bentzen SM, et al. Time between the 
first day of chemotherapy and the last day of chest radiation is the most important 
predictor of survival in limiteddisease smallcell lung cancer.",SCLC
598,"Gy in 1.8 to 2 Gy fractions are standard preoperative doses.89 Definitive RT doses delivered as preoperative chemotherapy/RT  
can safely be administered and achieve promising nodal clearance and survival rates,9093 but require experience in thoracic surgical techniques 
to minimize the risk of surgical complications after highdose RT.",NSCLC
4613,"One trial in 182 patients with limited stage 
SCLC  compared concurrent chemoradiation with highdose accelerated 
65 Gy given as once daily fractions over approximately 5 weeks with 
standard dose accelerated 45 Gy given as twice daily fractions over 3 
weeks .255",SCLC
4765,"The classification of 
neuroendocrine neoplasms of the lung and digestive system according to 
WHO, 5th edition: similarities, differences, challenges, and unmet needs.",SCLC
1159,"w Nivolumab and hyaluronidasenvhy subcutaneous injection may be substituted for IV 
nivolumab.",NSCLC
432,"Pleomorphic carcinoma is a poorly differentiated NSCC that contains at least 10% spindle and/or giant cells or a carcinoma consisting 
only of spindle and giant cells.",NSCLC
1352,"This list of 
recommended biomarkers has been  revised as new oncogenic driver 
mutations were  identified and new agents were  approved.",NSCLC
3288,"Sequential vs. concurrent 
chemoradiation for stage III non small cell lung cancer: randomized phase 
III trial RTOG 9410.",NSCLC
1480,"529,530 RTOG 0617, a phase 3 randomized 
trial, suggests that high dose radiation using 74 G y with concurrent 
chemotherapy does not improve survival, and might be harmful, when compared with a dose of 60 Gy.
518,531 535",NSCLC
